Order_ID,Order_Item_ID,Order_Amount,Order_Category,Order_Status
ORD000153,OI000153,2457.01,Fruits & Vegetables,Completed
ORD000154,OI000154,385.12,Groceries,Completed
ORD000155,OI000155,1829.56,Baby Care,Completed
ORD000156,OI000156,1922.24,Groceries,Completed
ORD000157,OI000157,1903.64,Baby Care,Rejected
ORD000158,OI000158,1366.95,Household,Completed
ORD000159,OI000159,2337.29,Dairy,Cancelled
ORD000160,OI000160,371.03,Groceries,Completed
ORD000161,OI000161,528.59,Beverages,Completed
ORD000162,OI000162,397.8,Household,Completed
ORD000163,OI000163,1102.41,Fruits & Vegetables,Completed
ORD000164,OI000164,2423.13,Personal Care,Rejected
ORD000165,OI000165,1844.41,Groceries,Completed
ORD000166,OI000166,880.2,Personal Care,Rejected
ORD000167,OI000167,2164.3,Dairy,Completed
ORD000168,OI000168,449.32,Household,Completed
ORD000169,OI000169,2189.5,Personal Care,Cancelled
ORD000170,OI000170,1408.11,Personal Care,Completed
ORD000171,OI000171,922.75,Bakery,Completed
ORD000172,OI000172,1744.02,Dairy,Cancelled
ORD000173,OI000173,2444.48,Household,Completed
ORD000174,OI000174,481.19,Dairy,Completed
ORD000175,OI000175,811.67,Frozen Foods,Completed
ORD000176,OI000176,2214.64,Groceries,Completed
ORD000177,OI000177,2194.13,Dairy,Cancelled
ORD000178,OI000178,1759.39,Household,Rejected
ORD000179,OI000179,2427.27,Personal Care,Rejected
ORD000180,OI000180,461.98,Snacks,Cancelled
ORD000181,OI000181,542.19,Snacks,Completed
ORD000182,OI000182,773.32,Household,Completed
ORD000183,OI000183,351.64,Beverages,Completed
ORD000184,OI000184,2010.34,Fruits & Vegetables,Cancelled
ORD000185,OI000185,2480.03,Personal Care,Cancelled
ORD000186,OI000186,341.07,Groceries,Cancelled
ORD000187,OI000187,108.01,Frozen Foods,Completed
ORD000188,OI000188,693.6,Frozen Foods,Rejected
ORD000189,OI000189,2480.22,Frozen Foods,Completed
ORD000190,OI000190,1665.34,Fruits & Vegetables,Completed
ORD000191,OI000191,2147.08,Frozen Foods,Cancelled
ORD000192,OI000192,602.62,Bakery,Rejected
ORD000193,OI000193,365.59,Baby Care,Completed
ORD000194,OI000194,159.25,Household,Completed
ORD000195,OI000195,2392.39,Snacks,Completed
ORD000196,OI000196,1259.5,Personal Care,Completed
ORD000197,OI000197,258.77,Snacks,Completed
ORD000198,OI000198,579.09,Personal Care,Completed
ORD000199,OI000199,614.5,Groceries,Cancelled
ORD000200,OI000200,163.13,Frozen Foods,Rejected
ORD000201,OI000201,738.76,Baby Care,Completed
ORD000202,OI000202,2078.43,Bakery,Completed
ORD000203,OI000203,168.94,Beverages,Cancelled
ORD000204,OI000204,550.5,Beverages,Completed
ORD000205,OI000205,192.82,Groceries,Rejected
ORD000206,OI000206,2260.77,Snacks,Cancelled
ORD000207,OI000207,2114.83,Personal Care,Cancelled
ORD000208,OI000208,558.28,Frozen Foods,Rejected
ORD000209,OI000209,2014.94,Frozen Foods,Cancelled
ORD000210,OI000210,2184.1,Bakery,Completed
ORD000211,OI000211,1542.19,Frozen Foods,Completed
ORD000212,OI000212,1532.65,Personal Care,Completed
ORD000213,OI000213,1372.4,Fruits & Vegetables,Completed
ORD000214,OI000214,631.1,Fruits & Vegetables,Completed
ORD000215,OI000215,312.56,Fruits & Vegetables,Completed
ORD000216,OI000216,1174.68,Baby Care,Cancelled
ORD000217,OI000217,1107.45,Dairy,Completed
ORD000218,OI000218,1163.36,Dairy,Completed
ORD000219,OI000219,280.31,Household,Completed
ORD000220,OI000220,772.38,Snacks,Rejected
ORD000221,OI000221,590.2,Beverages,Rejected
ORD000222,OI000222,2217.38,Bakery,Completed
ORD000223,OI000223,1894.96,Household,Completed
ORD000224,OI000224,1712.18,Personal Care,Cancelled
ORD000225,OI000225,674.22,Household,Completed
ORD000226,OI000226,496.75,Frozen Foods,Rejected
ORD000227,OI000227,968.25,Snacks,Completed
ORD000228,OI000228,1857.63,Dairy,Cancelled
ORD000229,OI000229,1446.29,Beverages,Cancelled
ORD000230,OI000230,1421.47,Bakery,Completed
ORD000231,OI000231,1828.2,Frozen Foods,Completed
ORD000232,OI000232,258.61,Dairy,Completed
ORD000233,OI000233,550.28,Baby Care,Cancelled
ORD000234,OI000234,1578.41,Snacks,Completed
ORD000235,OI000235,1202.25,Fruits & Vegetables,Completed
ORD000236,OI000236,1398.13,Personal Care,Rejected
ORD000237,OI000237,130.46,Household,Completed
ORD000238,OI000238,1268.39,Dairy,Completed
ORD000239,OI000239,1326.14,Frozen Foods,Cancelled
ORD000240,OI000240,1725.32,Snacks,Cancelled
ORD000241,OI000241,1552.86,Baby Care,Completed
ORD000242,OI000242,669.21,Fruits & Vegetables,Completed
ORD000243,OI000243,2027.02,Groceries,Completed
ORD000244,OI000244,1489.08,Frozen Foods,Completed
ORD000245,OI000245,1530.07,Household,Completed
ORD000246,OI000246,916.13,Household,Completed
ORD000247,OI000247,907.0,Household,Rejected
ORD000248,OI000248,1997.81,Fruits & Vegetables,Completed
ORD000249,OI000249,271.49,Snacks,Completed
ORD000250,OI000250,2425.31,Baby Care,Completed
ORD000251,OI000251,791.93,Snacks,Cancelled
ORD000252,OI000252,567.2,Household,Completed
ORD000253,OI000253,1751.16,Baby Care,Completed
ORD000254,OI000254,1895.03,Baby Care,Completed
ORD000255,OI000255,2129.67,Groceries,Rejected
ORD000256,OI000256,882.44,Groceries,Completed
ORD000257,OI000257,1134.6,Bakery,Cancelled
ORD000258,OI000258,2049.13,Fruits & Vegetables,Completed
ORD000259,OI000259,1051.34,Snacks,Completed
ORD000260,OI000260,2067.06,Household,Completed
ORD000261,OI000261,1535.74,Frozen Foods,Completed
ORD000262,OI000262,2499.6,Dairy,Completed
ORD000263,OI000263,489.77,Dairy,Completed
ORD000264,OI000264,2191.39,Baby Care,Completed
ORD000265,OI000265,913.42,Bakery,Completed
ORD000266,OI000266,205.23,Frozen Foods,Completed
ORD000267,OI000267,895.33,Fruits & Vegetables,Completed
ORD000268,OI000268,1360.48,Snacks,Completed
ORD000269,OI000269,1088.47,Snacks,Completed
ORD000270,OI000270,1204.95,Bakery,Completed
ORD000271,OI000271,1948.61,Dairy,Completed
ORD000272,OI000272,1626.56,Personal Care,Completed
ORD000273,OI000273,1084.17,Bakery,Completed
ORD000274,OI000274,1460.59,Household,Cancelled
ORD000275,OI000275,456.39,Baby Care,Completed
ORD000276,OI000276,1337.63,Beverages,Completed
ORD000277,OI000277,617.76,Bakery,Completed
ORD000278,OI000278,2315.39,Dairy,Completed
ORD000279,OI000279,155.72,Groceries,Completed
ORD000280,OI000280,2292.91,Bakery,Completed
ORD000281,OI000281,1026.68,Frozen Foods,Completed
ORD000282,OI000282,655.77,Dairy,Cancelled
ORD000283,OI000283,1533.09,Beverages,Cancelled
ORD000284,OI000284,1151.69,Bakery,Completed
ORD000285,OI000285,2400.63,Dairy,Completed
ORD000286,OI000286,330.27,Dairy,Completed
ORD000287,OI000287,998.8,Frozen Foods,Completed
ORD000288,OI000288,851.18,Groceries,Rejected
ORD000289,OI000289,1589.85,Frozen Foods,Cancelled
ORD000290,OI000290,146.28,Snacks,Cancelled
ORD000291,OI000291,463.62,Personal Care,Cancelled
ORD000292,OI000292,1311.95,Personal Care,Completed
ORD000293,OI000293,2174.1,Groceries,Completed
ORD000294,OI000294,2068.48,Household,Completed
ORD000295,OI000295,1024.38,Groceries,Cancelled
ORD000296,OI000296,2317.1,Dairy,Completed
ORD000297,OI000297,822.86,Dairy,Completed
ORD000298,OI000298,1609.99,Baby Care,Completed
ORD000299,OI000299,1884.7,Personal Care,Rejected
ORD000300,OI000300,105.92,Fruits & Vegetables,Cancelled
ORD000301,OI000301,1659.15,Fruits & Vegetables,Completed
ORD000302,OI000302,1853.65,Fruits & Vegetables,Completed
ORD000303,OI000303,2214.63,Dairy,Completed
ORD000304,OI000304,1931.22,Snacks,Completed
ORD000305,OI000305,186.07,Dairy,Completed
ORD000306,OI000306,2179.89,Beverages,Completed
ORD000307,OI000307,1823.19,Beverages,Rejected
ORD000308,OI000308,1899.94,Frozen Foods,Completed
ORD000309,OI000309,1785.29,Dairy,Completed
ORD000310,OI000310,835.32,Baby Care,Completed
ORD000311,OI000311,2135.08,Snacks,Rejected
ORD000312,OI000312,1453.75,Frozen Foods,Completed
ORD000313,OI000313,460.92,Frozen Foods,Completed
ORD000314,OI000314,1633.9,Snacks,Completed
ORD000315,OI000315,321.02,Frozen Foods,Completed
ORD000316,OI000316,503.5,Snacks,Completed
ORD000317,OI000317,1605.05,Snacks,Cancelled
ORD000318,OI000318,508.77,Frozen Foods,Cancelled
ORD000319,OI000319,886.14,Personal Care,Completed
ORD000320,OI000320,1599.67,Snacks,Completed
ORD000321,OI000321,2137.6,Snacks,Completed
ORD000322,OI000322,1021.92,Dairy,Cancelled
ORD000323,OI000323,376.9,Fruits & Vegetables,Completed
ORD000324,OI000324,228.89,Personal Care,Completed
ORD000325,OI000325,1814.89,Baby Care,Completed
ORD000326,OI000326,1192.92,Household,Completed
ORD000327,OI000327,1951.57,Fruits & Vegetables,Rejected
ORD000328,OI000328,1657.64,Frozen Foods,Completed
ORD000329,OI000329,1735.07,Groceries,Completed
ORD000330,OI000330,1136.34,Fruits & Vegetables,Completed
ORD000331,OI000331,1758.09,Personal Care,Completed
ORD000332,OI000332,2184.28,Beverages,Rejected
ORD000333,OI000333,1671.87,Snacks,Completed
ORD000334,OI000334,2225.44,Personal Care,Completed
ORD000335,OI000335,1274.61,Dairy,Completed
ORD000336,OI000336,2024.44,Beverages,Completed
ORD000337,OI000337,166.9,Dairy,Completed
ORD000338,OI000338,2406.83,Snacks,Completed
ORD000339,OI000339,669.32,Frozen Foods,Rejected
ORD000340,OI000340,299.61,Groceries,Completed
ORD000341,OI000341,107.3,Groceries,Cancelled
ORD000342,OI000342,1685.83,Fruits & Vegetables,Completed
ORD000343,OI000343,1780.89,Bakery,Cancelled
ORD000344,OI000344,2368.26,Fruits & Vegetables,Completed
ORD000345,OI000345,1507.84,Baby Care,Cancelled
ORD000346,OI000346,978.45,Fruits & Vegetables,Completed
ORD000347,OI000347,889.13,Snacks,Rejected
ORD000348,OI000348,456.09,Household,Completed
ORD000349,OI000349,2228.87,Frozen Foods,Cancelled
ORD000350,OI000350,953.88,Beverages,Rejected
ORD000351,OI000351,229.91,Household,Completed
ORD000352,OI000352,508.15,Frozen Foods,Completed
ORD000353,OI000353,1156.29,Bakery,Cancelled
ORD000354,OI000354,1079.87,Household,Cancelled
ORD000355,OI000355,1381.7,Groceries,Completed
ORD000356,OI000356,1446.44,Household,Completed
ORD000357,OI000357,1231.66,Beverages,Completed
ORD000358,OI000358,1834.59,Dairy,Cancelled
ORD000359,OI000359,1197.85,Fruits & Vegetables,Completed
ORD000360,OI000360,2085.32,Snacks,Rejected
ORD000361,OI000361,792.69,Beverages,Completed
ORD000362,OI000362,1185.52,Dairy,Completed
ORD000363,OI000363,138.75,Bakery,Completed
ORD000364,OI000364,1073.59,Bakery,Completed
ORD000365,OI000365,1186.26,Fruits & Vegetables,Completed
ORD000366,OI000366,1031.77,Bakery,Completed
ORD000367,OI000367,460.75,Beverages,Completed
ORD000368,OI000368,1104.14,Dairy,Rejected
ORD000369,OI000369,947.42,Baby Care,Completed
ORD000370,OI000370,2243.39,Bakery,Completed
ORD000371,OI000371,2073.92,Beverages,Completed
ORD000372,OI000372,1515.5,Snacks,Completed
ORD000373,OI000373,594.91,Baby Care,Completed
ORD000374,OI000374,1513.1,Personal Care,Rejected
ORD000375,OI000375,220.16,Fruits & Vegetables,Completed
ORD000376,OI000376,2288.41,Personal Care,Completed
ORD000377,OI000377,709.1,Baby Care,Completed
ORD000378,OI000378,2077.92,Groceries,Completed
ORD000379,OI000379,1232.56,Dairy,Completed
ORD000380,OI000380,688.49,Groceries,Completed
ORD000381,OI000381,1114.98,Frozen Foods,Completed
ORD000382,OI000382,2495.55,Personal Care,Completed
ORD000383,OI000383,2011.87,Personal Care,Completed
ORD000384,OI000384,2107.46,Personal Care,Completed
ORD000385,OI000385,1321.12,Household,Cancelled
ORD000386,OI000386,667.08,Beverages,Completed
ORD000387,OI000387,866.71,Frozen Foods,Cancelled
ORD000388,OI000388,2003.92,Groceries,Completed
ORD000389,OI000389,2395.72,Groceries,Completed
ORD000390,OI000390,1779.58,Dairy,Rejected
ORD000391,OI000391,2133.88,Dairy,Completed
ORD000392,OI000392,1452.44,Dairy,Completed
ORD000393,OI000393,505.36,Fruits & Vegetables,Rejected
ORD000394,OI000394,1413.43,Household,Rejected
ORD000395,OI000395,1535.04,Beverages,Completed
ORD000396,OI000396,421.78,Household,Completed
ORD000397,OI000397,1309.5,Personal Care,Cancelled
ORD000398,OI000398,844.98,Groceries,Completed
ORD000399,OI000399,2257.62,Snacks,Completed
ORD000400,OI000400,2328.41,Personal Care,Cancelled
ORD000401,OI000401,2382.05,Personal Care,Completed
ORD000402,OI000402,1556.55,Dairy,Completed
ORD000403,OI000403,1992.48,Dairy,Completed
ORD000404,OI000404,2338.43,Personal Care,Completed
ORD000405,OI000405,1630.07,Frozen Foods,Completed
ORD000406,OI000406,191.99,Dairy,Completed
ORD000407,OI000407,628.63,Groceries,Cancelled
ORD000408,OI000408,669.5,Snacks,Completed
ORD000409,OI000409,884.49,Snacks,Completed
ORD000410,OI000410,2066.96,Snacks,Completed
ORD000411,OI000411,2084.4,Snacks,Rejected
ORD000412,OI000412,1555.11,Frozen Foods,Completed
ORD000413,OI000413,133.71,Baby Care,Completed
ORD000414,OI000414,2016.57,Personal Care,Completed
ORD000415,OI000415,1522.19,Beverages,Completed
ORD000416,OI000416,1550.08,Frozen Foods,Completed
ORD000417,OI000417,213.58,Personal Care,Completed
ORD000418,OI000418,2318.0,Personal Care,Completed
ORD000419,OI000419,2435.52,Frozen Foods,Completed
ORD000420,OI000420,275.92,Baby Care,Cancelled
ORD000421,OI000421,714.87,Fruits & Vegetables,Completed
ORD000422,OI000422,1070.95,Baby Care,Completed
ORD000423,OI000423,2044.74,Snacks,Completed
ORD000424,OI000424,2385.32,Beverages,Completed
ORD000425,OI000425,341.54,Groceries,Completed
ORD000426,OI000426,717.23,Personal Care,Rejected
ORD000427,OI000427,135.27,Snacks,Completed
ORD000428,OI000428,1097.2,Dairy,Completed
ORD000429,OI000429,779.8,Frozen Foods,Completed
ORD000430,OI000430,1269.88,Fruits & Vegetables,Completed
ORD000431,OI000431,1752.47,Groceries,Completed
ORD000432,OI000432,1384.04,Groceries,Completed
ORD000433,OI000433,105.39,Frozen Foods,Completed
ORD000434,OI000434,178.6,Household,Completed
ORD000435,OI000435,1454.86,Bakery,Completed
ORD000436,OI000436,1744.44,Dairy,Completed
ORD000437,OI000437,658.54,Bakery,Completed
ORD000438,OI000438,1938.09,Dairy,Completed
ORD000439,OI000439,1606.92,Beverages,Cancelled
ORD000440,OI000440,1241.27,Baby Care,Completed
ORD000441,OI000441,2017.66,Frozen Foods,Completed
ORD000442,OI000442,1493.89,Snacks,Rejected
ORD000443,OI000443,2362.41,Personal Care,Rejected
ORD000444,OI000444,1534.67,Frozen Foods,Completed
ORD000445,OI000445,672.39,Fruits & Vegetables,Completed
ORD000446,OI000446,261.56,Beverages,Completed
ORD000447,OI000447,314.46,Fruits & Vegetables,Completed
ORD000448,OI000448,2494.08,Fruits & Vegetables,Completed
ORD000449,OI000449,2178.11,Beverages,Completed
ORD000450,OI000450,2440.21,Beverages,Rejected
ORD000451,OI000451,162.17,Frozen Foods,Completed
ORD000452,OI000452,1690.8,Bakery,Completed
ORD000453,OI000453,1874.86,Snacks,Completed
ORD000454,OI000454,1980.62,Beverages,Completed
ORD000455,OI000455,1125.77,Groceries,Completed
ORD000456,OI000456,405.31,Bakery,Cancelled
ORD000457,OI000457,1302.23,Snacks,Completed
ORD000458,OI000458,1648.41,Groceries,Completed
ORD000459,OI000459,2386.88,Groceries,Rejected
ORD000460,OI000460,1942.63,Personal Care,Completed
ORD000461,OI000461,1249.93,Bakery,Completed
ORD000462,OI000462,2098.3,Household,Rejected
ORD000463,OI000463,1650.96,Snacks,Completed
ORD000464,OI000464,139.08,Groceries,Cancelled
ORD000465,OI000465,900.35,Bakery,Cancelled
ORD000466,OI000466,701.58,Dairy,Completed
ORD000467,OI000467,1067.16,Household,Rejected
ORD000468,OI000468,1108.69,Dairy,Completed
ORD000469,OI000469,352.38,Beverages,Completed
ORD000470,OI000470,905.69,Household,Completed
ORD000471,OI000471,986.12,Dairy,Completed
ORD000472,OI000472,743.61,Fruits & Vegetables,Rejected
ORD000473,OI000473,1989.4,Household,Completed
ORD000474,OI000474,532.21,Beverages,Completed
ORD000475,OI000475,1587.12,Household,Completed
ORD000476,OI000476,2370.61,Bakery,Completed
ORD000477,OI000477,1377.17,Dairy,Completed
ORD000478,OI000478,2211.97,Snacks,Completed
ORD000479,OI000479,2296.22,Groceries,Completed
ORD000480,OI000480,306.17,Fruits & Vegetables,Completed
ORD000481,OI000481,412.57,Baby Care,Cancelled
ORD000482,OI000482,1536.89,Beverages,Rejected
ORD000483,OI000483,1220.35,Bakery,Completed
ORD000484,OI000484,236.61,Personal Care,Cancelled
ORD000485,OI000485,249.66,Dairy,Completed
ORD000486,OI000486,603.12,Groceries,Completed
ORD000487,OI000487,1804.66,Groceries,Rejected
ORD000488,OI000488,1192.82,Fruits & Vegetables,Cancelled
ORD000489,OI000489,2034.72,Frozen Foods,Completed
ORD000490,OI000490,1928.44,Bakery,Cancelled
ORD000491,OI000491,2386.74,Personal Care,Completed
ORD000492,OI000492,944.68,Frozen Foods,Completed
ORD000493,OI000493,1071.46,Dairy,Completed
ORD000494,OI000494,1839.73,Fruits & Vegetables,Rejected
ORD000495,OI000495,942.32,Personal Care,Completed
ORD000496,OI000496,1607.71,Dairy,Completed
ORD000497,OI000497,2380.82,Bakery,Rejected
ORD000498,OI000498,236.07,Household,Completed
ORD000499,OI000499,916.19,Fruits & Vegetables,Completed
ORD000500,OI000500,2461.63,Baby Care,Completed
ORD000501,OI000501,2026.84,Beverages,Cancelled
ORD000502,OI000502,1717.91,Groceries,Completed
ORD000503,OI000503,1803.84,Beverages,Completed
ORD000504,OI000504,1829.84,Baby Care,Completed
ORD000505,OI000505,2293.68,Fruits & Vegetables,Completed
ORD000506,OI000506,138.49,Groceries,Completed
ORD000507,OI000507,1147.09,Fruits & Vegetables,Completed
ORD000508,OI000508,615.4,Fruits & Vegetables,Rejected
ORD000509,OI000509,1548.97,Fruits & Vegetables,Rejected
ORD000510,OI000510,1675.77,Beverages,Completed
ORD000511,OI000511,2234.65,Fruits & Vegetables,Completed
ORD000512,OI000512,2060.64,Fruits & Vegetables,Cancelled
ORD000513,OI000513,556.29,Household,Completed
ORD000514,OI000514,681.06,Household,Rejected
ORD000515,OI000515,1092.25,Beverages,Completed
ORD000516,OI000516,2408.18,Household,Completed
ORD000517,OI000517,275.66,Household,Completed
ORD000518,OI000518,1059.4,Household,Completed
ORD000519,OI000519,2216.57,Groceries,Rejected
ORD000520,OI000520,1627.35,Groceries,Completed
ORD000521,OI000521,2350.49,Baby Care,Cancelled
ORD000522,OI000522,1338.57,Personal Care,Completed
ORD000523,OI000523,2336.16,Frozen Foods,Completed
ORD000524,OI000524,586.65,Groceries,Cancelled
ORD000525,OI000525,183.93,Baby Care,Cancelled
ORD000526,OI000526,1929.44,Dairy,Completed
ORD000527,OI000527,1494.11,Frozen Foods,Rejected
ORD000528,OI000528,1302.16,Frozen Foods,Completed
ORD000529,OI000529,1881.12,Snacks,Rejected
ORD000530,OI000530,1583.48,Frozen Foods,Rejected
ORD000531,OI000531,1096.83,Beverages,Completed
ORD000532,OI000532,777.6,Household,Cancelled
ORD000533,OI000533,301.94,Dairy,Rejected
